DLC,DATA0,DATA1,DATA2,DATA3,DATA4,DATA5,DATA6,DATA7,ATTACK_TYPE
8,fe,5b,0,0,0,3c,0,0,Normal
8,19,21,22,30,8,8e,6d,3a,Normal
8,64,0,9a,1d,97,2,bd,0,Normal
8,40,bb,7f,14,11,20,0,14,Normal
8,d8,0,0,8a,0,0,0,0,Normal
8,0,0,0,0,0,3,0b,11,Normal
8,0,21,10,ff,0,ff,0,0,Normal
8,14,0,0,0,0,0,0,0,Normal
8,8,80,0,ff,31,80,0b,7f,Normal
8,e5,7f,0,0,48,7f,0b,ac,Normal
8,0,0,0,0,8,22,2b,a3,DoS
8,5,20,14,68,77,0,0,2e,DoS
8,0,40,60,ff,7e,ce,8,0,DoS
8,0,20,0,0,0,0,0,0,DoS
8,ff,0,0,0,ff,ce,8,0,DoS
8,5,21,68,9,21,21,0,6f,DoS
8,19,21,22,30,8,8e,6d,7,DoS
8,4,0,9a,1d,97,2,bd,0,DoS
8,0,0,0,80,0,69,d1,13,DoS
8,0,0,0,0,0,0,0,0,DoS
8,29,27,27,23,0,0,0,9a,DoS
8,8,0,0,0,0,0,0,0,DoS
8,0,0,0,0,0,3,0c,42,DoS
8,5,20,24,68,77,0,0,1e,DoS
8,0b,80,0,ff,45,80,0c,85,DoS
8,0e,80,0,0,38,7f,0c,9b,DoS
8,0,0,0,0,0a,21,2c,27,DoS
8,0,40,60,ff,7e,d0,8,0,DoS
8,ff,0,0,0,ff,d0,8,0,DoS
8,19,21,22,30,8,8e,6d,18,DoS
8,24,0,9a,1d,97,2,bd,0,DoS
8,d8,0,0,88,0,0,0,0,DoS
8,0,0,0,0,0,3,0d,5f,DoS
8,0f,80,0,ff,37,80,0d,ba,DoS
8,12,80,0,0,30,7f,0d,88,DoS
8,0,0,0,0,0c,23,2d,a7,DoS
8,5,20,34,68,77,0,0,0e,DoS
8,0,40,60,ff,7e,cd,8,0,DoS
8,5c,84,68,9,0,1f,2,0,DoS
8,80,89,0,0,24,0,0,0,DoS
8,ff,0,0,0,ff,cd,8,0,DoS
8,19,21,21,30,8,8e,6d,2a,DoS
8,44,0,9a,1d,97,2,bd,0,DoS
8,0,0,0,0,0,3,0e,78,DoS
8,5,20,44,68,76,0,0,7f,DoS
8,10,80,0,ff,21,80,0e,65,DoS
8,5,80,0,0,36,7f,0e,9d,DoS
8,0,0,0,0,0e,22,2e,cf,DoS
8,0,40,60,ff,7e,ca,8,0,DoS
8,ff,0,0,0,ff,ca,8,0,DoS
8,5,21,60,9,21,21,0,6f,DoS
8,d8,59,0,8a,0,0,0,0,DoS
8,0,0,0,0,0,3,0f,65,DoS
8,11,80,0,ff,1d,80,0f,7,DoS
8,5,80,0,0,46,7f,0f,c8,DoS
8,0,0,0,0,10,28,2f,1,DoS
8,5,20,54,68,77,0,0,6e,DoS
8,0,40,60,ff,7e,c9,8,0,DoS
8,ff,0,0,0,ff,c9,8,0,DoS
8,5,22,60,9,22,21,0,6f,DoS
8,19,22,22,30,8,8e,71,3,DoS
8,86,bb,7f,14,11,20,0,14,DoS
8,0,0,0,0,a0,22,0,0,DoS
8,0,0,0,0,0,3,0,de,DoS
8,5,20,64,68,77,0,0,5e,DoS
8,15,80,0,ff,1f,80,0,d6,DoS
8,0e,80,0,0,55,7f,0,d2,DoS
8,0,0,0,0,12,33,20,83,DoS
